Brand,Year,Kilometers,Fuel,Transmission,Owner,Mileage,Engine,Power,Seats,Price
Honda,2006,66000,Petrol,Automatic,Second,10.1,2354,152,5,3.9
Honda,2006,80000,Petrol,Automatic,Third,10.1,2354,152,5,2
Mercedes-Benz,2006,47088,Petrol,Automatic,Second,10.13,3498,364.9,5,19
Mercedes-Benz,2007,55000,Petrol,Automatic,Third,10.13,3498,364.9,5,9.99
Mercedes-Benz,2006,103000,Petrol,Automatic,First,10.13,3498,364.9,5,8.85
Honda,2008,90000,Petrol,Automatic,First,10.2,2354,180,5,6.5
Honda,2010,80000,Petrol,Manual,First,10.2,2354,180,5,3.99
Honda,2010,119000,Petrol,Manual,First,10.2,2354,180,5,5.95
BMW,2018,9952,Petrol,Automatic,First,10.37,2979,306,2,58.54
BMW,2011,25000,Petrol,Automatic,First,10.37,2979,306,2,30
Maruti,2018,28786,Petrol,Manual,First,10.4,2393,163.5,5,9.74
Audi,2008,41000,Petrol,Automatic,Second,10.4,2773,201,5,10.5
Maruti,2017,25000,Petrol,Manual,First,10.4,2393,163.5,5,9
Mahindra,2008,131000,Diesel,Manual,First,10.5,2609,120,7,3.6
Mahindra,2008,176000,Diesel,Manual,Second,10.5,2179,120,8,4.3
Mercedes-Benz,2004,85000,Petrol,Automatic,Second,10.5,1796,157.7,5,5.5
Mahindra,2013,72000,Diesel,Manual,First,10.5,2179,120,8,6
Mahindra,2005,60000,Diesel,Manual,First,10.5,2179,120,8,4
Audi,2012,125000,Petrol,Automatic,First,10.5,3197,null,0,18
Mercedes-Benz,2011,34000,Petrol,Automatic,Second,10.5,1796,157.7,5,19
Mahindra,2010,76477,Diesel,Manual,First,10.5,2179,120,8,4.25
Mahindra,2006,92000,Diesel,Manual,First,10.5,2179,120,8,3.45
Mahindra,2005,90000,Diesel,Manual,First,10.5,2179,120,8,2.6
Mercedes-Benz,2014,40000,Petrol,Automatic,First,10.5,1796,157.7,5,24
BMW,2010,24000,Petrol,Automatic,First,10.6,2996,258,5,8.75
BMW,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7
Honda,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25
BMW,2011,31000,Petrol,Automatic,First,10.8,2497,150,5,13.5
BMW,2008,61000,Petrol,Automatic,Second,10.8,2497,215,5,11
BMW,2010,69300,Petrol,Automatic,Second,10.8,2497,150,5,12.5
Honda,2007,98000,Petrol,Manual,Second,10.8,2354,152,5,4.7
BMW,2010,74000,Petrol,Automatic,First,10.8,2497,150,5,12.95
Audi,2011,38000,Petrol,Automatic,First,10.8,1984,132,5,12
Honda,2010,67758,Petrol,Manual,First,10.8,2354,null,5,9.5
Honda,2008,92000,Petrol,Manual,Second,10.8,2354,152,5,3.7
Ford,2007,90000,Diesel,Manual,Fourth & Above,10.9,2499,143,7,3
BMW,2010,77849,Petrol,Automatic,Second,10.9,2497,215,5,11.27
BMW,2009,70521,Petrol,Automatic,Second,10.9,2497,215,5,10.3
BMW,2011,43706,Petrol,Automatic,First,10.9,2497,215,5,9
BMW,2011,31000,Petrol,Automatic,First,10.9,2497,215,5,31
Ford,2007,116000,Diesel,Manual,Third,10.9,2499,null,7,3.75
Ford,2009,180000,Diesel,Manual,First,10.9,2499,143,7,7.5
Ford,2017,50484,Diesel,Automatic,First,10.91,3198,197.2,7,31.12
Ford,2017,59636,Diesel,Automatic,First,10.91,3198,197,7,29.2
Ford,2016,68000,Diesel,Automatic,First,10.91,3198,197,7,29.5
Ford,2018,30552,Diesel,Automatic,First,10.91,3198,197.2,7,32.44
Ford,2017,38000,Diesel,Automatic,First,10.91,3198,197,7,30.48
Ford,2018,51530,Diesel,Automatic,First,10.91,3198,197.2,7,30.27
Ford,2017,61108,Diesel,Automatic,First,10.91,3198,197,7,28.88
Ford,2016,29000,Diesel,Automatic,First,10.91,3198,197,7,29.8
Ford,2016,90000,Diesel,Automatic,First,10.91,3198,197.2,7,26
Ford,2019,9000,Diesel,Automatic,First,10.91,3198,197,7,35.5
Ford,2016,43000,Diesel,Automatic,First,10.91,3198,197.2,7,26.5
Ford,2018,15000,Diesel,Automatic,First,10.91,3198,197,7,33
Ford,2018,12000,Diesel,Automatic,First,10.91,3198,197,7,33.5
Ford,2017,17000,Diesel,Automatic,First,10.91,3198,197,7,31
Ford,2017,54650,Diesel,Automatic,First,10.91,3198,197,7,30.35
Mercedes-Benz,2010,50645,Petrol,Automatic,Second,10.93,2497,204,5,10.75
Mercedes-Benz,2010,83000,Petrol,Automatic,First,10.93,2497,204,5,16.5
Mercedes-Benz,2010,73000,Petrol,Automatic,First,10.93,3498,272,5,10.4
Mercedes-Benz,2009,68001,Petrol,Automatic,Second,10.93,3498,272,5,11.75
Mercedes-Benz,2011,87073,Petrol,Automatic,First,10.93,2497,204,5,17.23
Mercedes-Benz,2009,43600,Petrol,Automatic,First,10.93,3498,272,5,10.24
Volkswagen,2009,27078,Petrol,Automatic,First,10.98,1984,114.4,4,15.95
BMW,2009,90000,Diesel,Automatic,Second,11,2993,235,5,17.75
Mercedes-Benz,2017,129000,Diesel,Automatic,First,11,2987,258,7,56
Mercedes-Benz,2009,80464,Diesel,Automatic,Second,11,2987,198.5,5,9.29
Mercedes-Benz,2018,6000,Diesel,Automatic,First,11,2987,258,7,79
Mercedes-Benz,2005,54000,Diesel,Automatic,First,11,2987,198.5,5,10
BMW,2010,101119,Diesel,Automatic,First,11,2993,235,5,18.46
Mercedes-Benz,2007,75000,Diesel,Automatic,First,11,2987,198.5,5,11
Mercedes-Benz,2008,68333,Diesel,Automatic,Second,11,2987,198.5,5,8.5
BMW,2009,90000,Diesel,Automatic,First,11,2993,235,5,17.75
Mercedes-Benz,2005,102000,Diesel,Automatic,Second,11,2987,198.5,5,4.65
Mercedes-Benz,2009,85000,Diesel,Automatic,First,11,2987,198.5,5,9.99
Mercedes-Benz,2009,100000,Diesel,Automatic,First,11,2987,198.5,5,11.5
BMW,2009,150000,Diesel,Automatic,First,11,2993,235,5,18.75
Mercedes-Benz,2006,76662,Diesel,Automatic,First,11,2987,198.5,5,10.99
BMW,2009,110000,Diesel,Automatic,First,11,2993,235,5,18
Mercedes-Benz,2005,131000,Diesel,Automatic,First,11,2987,198.5,5,10
Mercedes-Benz,2007,70000,Diesel,Automatic,First,11,2987,198.5,5,11
Audi,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37
Audi,2013,23312,Petrol,Automatic,First,11.05,2894,444,4,40.5
Honda,2015,63050,Petrol,Automatic,First,11.1,2354,158.8,5,17.5
Honda,2007,80000,Petrol,Automatic,First,11.1,2354,142,5,3
Honda,2009,88000,Petrol,Automatic,First,11.1,2354,142,5,5.25
Honda,2008,75000,Petrol,Manual,Second,11.1,2354,158.8,5,3.9
Honda,2010,84000,Petrol,Automatic,Second,11.1,2354,142,5,6.5
Honda,2009,65462,Petrol,Automatic,Third,11.1,2354,142,5,3.5
Honda,2007,66000,Petrol,Automatic,First,11.1,2354,158.8,5,3.7
Honda,2010,83000,Petrol,Automatic,Second,11.1,2354,142,5,6.5
Mahindra,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5
Mahindra,2014,65000,Diesel,Automatic,First,11.18,2696,184,7,10.5
Mahindra,2014,62000,Diesel,Automatic,First,11.18,2696,184,7,10.55
Mahindra,2015,67415,Diesel,Automatic,First,11.18,2696,184,7,11.03
Mahindra,2013,61202,Diesel,Automatic,First,11.18,2696,184,7,14.5
Mahindra,2014,91586,Diesel,Automatic,Second,11.18,2696,184,7,9.47
Mahindra,2013,76000,Diesel,Automatic,Second,11.18,2696,184,7,8.79
Mahindra,2013,66372,Diesel,Automatic,First,11.18,2696,184,7,10.5
Mahindra,2013,80000,Diesel,Automatic,Second,11.18,2696,184,7,9.5
Mahindra,2016,39000,Diesel,Automatic,First,11.18,2696,184,7,13.85
BMW,2013,58000,Diesel,Automatic,First,11.2,2993,306,4,48
BMW,2013,45306,Diesel,Automatic,Second,11.2,2993,241,4,42.5
BMW,2011,59000,Diesel,Automatic,First,11.2,2993,241,4,21.9
BMW,2014,39626,Diesel,Automatic,First,11.2,2993,241,4,40.66
Toyota,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95
BMW,2012,80000,Petrol,Automatic,First,11.25,1995,150,5,9.5
Toyota,2004,105000,Petrol,Automatic,Second,11.3,1794,125,5,2.5
Toyota,2008,80000,Petrol,Automatic,First,11.3,1794,125,5,2.8
Toyota,2005,67000,Petrol,Automatic,Second,11.3,1794,125,5,2.45
Mercedes-Benz,2014,85000,Diesel,Automatic,First,11.3,2987,254.8,7,38.75
Toyota,2004,160000,Petrol,Automatic,Second,11.3,1794,125,5,1.5
Mercedes-Benz,2016,16000,Diesel,Automatic,First,11.3,2987,254.8,7,56
Toyota,2005,83929,Petrol,Automatic,First,11.3,1794,125,5,2.6
Mercedes-Benz,2015,45000,Diesel,Automatic,First,11.3,2987,254.8,7,56
Maruti,2003,62000,Petrol,Manual,Second,11.3,1298,83.1,8,1.25
Mercedes-Benz,2013,100000,Diesel,Automatic,Second,11.3,2987,254.8,7,38
Audi,2016,51002,Diesel,Automatic,First,11.33,4134,335.2,7,48.91
Audi,2014,79926,Diesel,Automatic,First,11.33,4134,335.2,7,29.77
Audi,2014,50000,Diesel,Automatic,First,11.33,4134,335.2,7,51
Audi,2015,50000,Diesel,Automatic,First,11.33,4134,335.2,7,48
Audi,2010,73000,Diesel,Automatic,First,11.33,4134,335.2,7,17.51
Audi,2015,56238,Diesel,Automatic,First,11.33,4134,335.2,7,51.69
Toyota,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5
Toyota,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25
Toyota,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64
Toyota,2016,100200,Diesel,Automatic,First,11.36,2755,171.5,7,17
Toyota,2019,40674,Diesel,Automatic,First,11.36,2755,171.5,7,24.82
Toyota,2018,41736,Diesel,Automatic,First,11.36,2755,171.5,7,19.92
Toyota,2016,108000,Diesel,Automatic,First,11.36,2755,171.5,7,20.5
Toyota,2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7,19.75
Toyota,2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7,15.49
Toyota,2019,10601,Diesel,Automatic,First,11.36,2755,171.5,7,19.65
Toyota,2017,35358,Diesel,Automatic,First,11.36,2755,171.5,7,22.99
Toyota,2017,65367,Diesel,Automatic,First,11.36,2755,171.5,7,20.14
Toyota,2017,18000,Diesel,Automatic,First,11.36,2755,171.5,8,18.25
Toyota,2018,20300,Diesel,Automatic,First,11.36,2755,171.5,7,18
Toyota,2017,26023,Diesel,Automatic,First,11.36,2755,171.5,7,19.97
Toyota,2016,40000,Diesel,Automatic,First,11.36,2755,171.5,8,16.45
Toyota,2016,50296,Diesel,Automatic,Second,11.36,2755,171.5,7,19
Toyota,2017,53841,Diesel,Automatic,First,11.36,2755,171.5,7,20.5
Toyota,2016,42000,Diesel,Automatic,First,11.36,2755,171.5,7,19.6
Toyota,2016,42388,Diesel,Automatic,First,11.36,2755,171.5,7,18
Toyota,2019,14076,Diesel,Automatic,First,11.36,2755,171.5,7,19.4
Toyota,2016,80000,Diesel,Automatic,First,11.36,2755,171.5,7,19.5
Toyota,2017,20789,Diesel,Automatic,First,11.36,2755,171.5,7,18.36
Ford,2012,91000,Diesel,Automatic,First,11.4,2953,153.86,7,9.2
Ford,2010,78000,Diesel,Automatic,Second,11.4,2953,153.86,7,5.34
Hyundai,2009,94000,Diesel,Automatic,First,11.4,1991,142,5,5.25
Ford,2012,91696,Diesel,Automatic,First,11.4,2953,153.86,7,9.25
Ford,2012,45840,Diesel,Automatic,First,11.4,2953,153.86,7,8.41
Ford,2011,100000,Diesel,Automatic,First,11.4,2953,153.86,7,8.5
Toyota,2012,91235,Diesel,Manual,First,11.5,2982,171,7,13.49
Mercedes-Benz,2018,22397,Petrol,Automatic,First,11.5,2996,367,5,70.99
Toyota,2010,100000,Diesel,Manual,First,11.5,2982,171,7,13
Toyota,2015,94000,Diesel,Automatic,First,11.5,2982,169,7,20.5
BMW,2013,108640,Diesel,Automatic,First,11.5,2993,235,5,23.29
Toyota,2010,41650,Diesel,Manual,Second,11.5,2982,171,7,10.99
Toyota,2011,75000,Diesel,Manual,First,11.5,2982,171,7,10.85
BMW,2008,112500,Diesel,Automatic,First,11.5,2993,235,5,7.99
Toyota,2012,152000,Diesel,Automatic,First,11.5,2982,169,7,16.5
Toyota,2009,92000,Diesel,Manual,First,11.5,2982,171,7,8.9
Toyota,2019,80000,Diesel,Manual,First,11.5,2982,171,7,8.99
Toyota,2010,135000,Diesel,Manual,Second,11.5,2982,171,7,11
Mercedes-Benz,2011,92239,Diesel,Automatic,Second,11.5,2987,210,5,10.6
Toyota,2011,146300,Diesel,Manual,First,11.5,2982,171,7,12.25
Toyota,2012,73000,Diesel,Automatic,First,11.5,2982,169,7,14.4
Toyota,2011,60000,Diesel,Manual,First,11.5,2982,171,7,10.85
Toyota,2011,190000,Diesel,Manual,First,11.5,2982,171,7,13
Toyota,2009,149706,Diesel,Manual,First,11.5,2982,171,7,11
Toyota,2010,122000,Diesel,Manual,Second,11.5,2982,171,7,10.45
Toyota,2014,171000,Diesel,Manual,First,11.5,2982,171,7,16.75
Toyota,2014,55960,Diesel,Manual,First,11.5,2982,171,7,17.25
Toyota,2016,99593,Diesel,Manual,First,11.5,2982,171,7,23.5
Toyota,2011,148009,Diesel,Manual,Second,11.5,2982,171,7,12.75
Toyota,2011,62100,Diesel,Manual,First,11.5,2982,171,7,10.75
Toyota,2015,70000,Diesel,Automatic,First,11.5,2982,169,7,19.48
Toyota,2011,151000,Diesel,Manual,First,11.5,2982,171,7,11.4
BMW,2010,68000,Diesel,Automatic,First,11.5,2993,235,5,18
Toyota,2012,100000,Diesel,Manual,Third,11.5,2982,171,7,16
Toyota,2014,72000,Diesel,Manual,Second,11.5,2982,171,7,18.5
Toyota,2010,76000,Diesel,Manual,First,11.5,2982,171,7,9.25
Toyota,2010,193254,Diesel,Manual,First,11.5,2982,171,7,12.99
Toyota,2010,242000,Diesel,Manual,First,11.5,2982,171,7,11
Toyota,2009,138205,Diesel,Manual,Second,11.5,2982,171,7,10.5
Toyota,2013,63455,Diesel,Manual,First,11.5,2982,171,7,19
Toyota,2010,136000,Diesel,Manual,Second,11.5,2982,171,7,11
Toyota,2010,144113,Diesel,Manual,Second,11.5,2982,171,7,11.75
Toyota,2011,86000,Diesel,Manual,First,11.5,2982,171,7,11.5
Toyota,2012,97000,Diesel,Automatic,First,11.5,2982,169,7,16.75
Toyota,2013,100000,Diesel,Manual,Second,11.5,2982,171,7,17.75
Toyota,2012,125000,Diesel,Automatic,First,11.5,2982,169,7,13.5
Mercedes-Benz,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,61.29
Mercedes-Benz,2018,40129,Diesel,Automatic,First,11.57,2987,254.79,5,70.8
Mercedes-Benz,2017,33552,Diesel,Automatic,First,11.57,2987,254.79,5,64.87
Mercedes-Benz,2018,30706,Diesel,Automatic,First,11.57,2987,254.79,5,59.29
Mercedes-Benz,2017,19863,Diesel,Automatic,First,11.57,2987,254.79,5,64.95
Mercedes-Benz,2018,29277,Diesel,Automatic,First,11.57,2987,254.79,5,59.65
Mercedes-Benz,2016,29000,Diesel,Automatic,First,11.57,2987,254.79,5,65
Mercedes-Benz,2016,28541,Diesel,Automatic,First,11.57,2987,254.79,5,60.75
BMW,2006,48000,Petrol,Automatic,Second,11.62,2979,306,5,6.99
Mahindra,2014,67771,Diesel,Manual,First,11.68,2498,112,8,7.06
Mahindra,2016,49176,Diesel,Manual,First,11.68,2498,112,8,7.46
Mahindra,2013,167362,Diesel,Manual,First,11.68,2498,112,7,4
Mahindra,2013,197000,Diesel,Manual,First,11.68,2498,112,7,4
Mercedes-Benz,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35
Honda,2011,60000,Petrol,Automatic,First,11.7,2354,177.6,5,4.45
BMW,2011,75000,Diesel,Automatic,First,11.7,2993,245,5,27.5
Mercedes-Benz,2010,65000,Petrol,Manual,Second,11.7,1796,178,5,11.75
Honda,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5,2.6
Honda,2011,62332,Petrol,Automatic,First,11.7,2354,177.6,5,5.89
Honda,2011,54774,Petrol,Automatic,First,11.7,2354,177.6,5,6.35
Mercedes-Benz,2009,29000,Petrol,Automatic,Second,11.7,1796,178,5,10
Honda,2011,85000,Petrol,Automatic,Second,11.7,2354,177.6,5,7.5
Hyundai,2003,44200,Petrol,Manual,Second,11.7,1997,134,5,1.5
Honda,2011,87000,Petrol,Automatic,First,11.7,2354,177.6,5,5.4
Mercedes-Benz,2011,62148,Petrol,Manual,First,11.7,1796,178,5,8.8
BMW,2011,124652,Diesel,Automatic,First,11.7,2993,245,5,21.99
BMW,2011,58000,Diesel,Automatic,Second,11.7,2993,245,5,27
Honda,2008,79000,Petrol,Automatic,Second,11.7,2354,177.6,5,4.85
BMW,2009,110000,Diesel,Automatic,First,11.7,2993,245,5,20
BMW,2011,55000,Diesel,Automatic,Second,11.7,2993,245,5,28
Hyundai,2013,45000,Petrol,Manual,First,11.7,2359,134,5,7.9
Honda,2008,95000,Petrol,Automatic,Third,11.7,2354,177.6,5,2.85
Mercedes-Benz,2010,34000,Petrol,Manual,First,11.7,1796,178,5,10
Hyundai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7
Hyundai,2012,43000,Diesel,Automatic,Second,11.72,2199,194.3,7,10.75
Hyundai,2014,58000,Diesel,Automatic,First,11.72,2199,194.3,7,17
Hyundai,2016,36000,Diesel,Automatic,First,11.72,2199,194.3,7,23
Mercedes-Benz,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28
Mercedes-Benz,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7
Mercedes-Benz,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5
Mercedes-Benz,2011,50000,Petrol,Automatic,Second,11.74,1796,186,5,8.5
Mercedes-Benz,2014,56778,Petrol,Automatic,First,11.74,1796,186,5,15.46
Mercedes-Benz,2011,45000,Petrol,Automatic,Second,11.74,1796,186,5,13.5
Mercedes-Benz,2011,40000,Petrol,Automatic,Second,11.74,1796,186,5,14.5
Mercedes-Benz,2011,36000,Petrol,Automatic,First,11.74,1796,186,5,10.15
Mercedes-Benz,2012,51000,Diesel,Automatic,First,11.74,2987,254.8,5,22.25
Mercedes-Benz,2007,220000,Petrol,Automatic,Second,11.74,1796,186,5,6
Mercedes-Benz,2012,83000,Diesel,Automatic,First,11.74,2987,254.8,5,36
Mercedes-Benz,2011,51000,Petrol,Automatic,First,11.74,1796,186,5,11.5
Mercedes-Benz,2011,64000,Petrol,Automatic,Second,11.74,1796,186,5,12.5
Mercedes-Benz,2007,43627,Petrol,Automatic,First,11.74,1796,186,5,29
Mercedes-Benz,2011,60000,Petrol,Automatic,First,11.74,1796,186,5,16
Mercedes-Benz,2012,63720,Petrol,Automatic,First,11.74,1796,186,5,13.25
Mercedes-Benz,2016,34000,Diesel,Automatic,First,11.78,2143,167.62,5,25.5
Mahindra,2012,85000,Diesel,Automatic,First,11.79,2179,120,7,6.25
Mahindra,2011,108905,Diesel,Automatic,Second,11.79,2179,120,8,6.21
Mahindra,2011,50000,Diesel,Automatic,First,11.79,2179,120,8,6
Mahindra,2013,86000,Diesel,Automatic,First,11.79,2179,120,8,8
Audi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45
Audi,2009,55000,Diesel,Automatic,First,11.8,2967,246.7,5,13.5
Mercedes-Benz,2010,46000,Diesel,Automatic,First,11.8,2987,261,7,28
Mercedes-Benz,2011,82000,Petrol,Automatic,Second,11.8,3498,272,7,16.85
Mercedes-Benz,2014,45710,Petrol,Automatic,First,11.8,3498,272,7,23.68
Mercedes-Benz,2010,93000,Petrol,Automatic,Second,11.8,3498,272,7,15
Honda,2007,86000,Petrol,Manual,Third,11.9,2354,144,5,1.85
Mercedes-Benz,2010,85001,Diesel,Automatic,Second,12,2987,224,7,28
Honda,2004,78000,Petrol,Automatic,First,12,2354,187.4,5,3.99
Honda,2013,46125,Petrol,Automatic,Second,12,2354,187.4,5,12.5
Mercedes-Benz,2014,52000,Diesel,Automatic,First,12,2987,224,7,49
Mercedes-Benz,2013,46000,Diesel,Automatic,First,12,2987,224,7,36
Mercedes-Benz,2014,79000,Diesel,Automatic,First,12,2987,224,7,41
Maruti,2001,200000,Petrol,Manual,First,12,,,,0.7
Honda,2006,99583,Petrol,Automatic,Third,12,1493,100,5,2.21
Mercedes-Benz,2013,100000,Diesel,Automatic,First,12,2987,224,7,32
Mercedes-Benz,2015,55000,Diesel,Automatic,First,12,2987,224,7,52
Mercedes-Benz,2014,3000,Petrol,Automatic,Second,12,5461,421,2,90
Mercedes-Benz,2014,72000,Petrol,Automatic,First,12,1991,184,5,17.25
Mercedes-Benz,2013,50319,Petrol,Automatic,First,12,1991,181.03,5,21.95
Mercedes-Benz,2015,48600,Diesel,Automatic,First,12,2987,224,7,48.5
Mahindra,2014,42000,Diesel,Manual,First,12.05,2179,120,8,7.75
Mahindra,2013,105000,Diesel,Manual,Second,12.05,2179,120,8,7
BMW,2010,48394,Petrol,Automatic,First,12.05,1995,154,5,10.49
Mahindra,2012,62729,Diesel,Manual,First,12.05,2179,120,8,6.32
Mahindra,2007,74112,Diesel,Manual,First,12.05,2179,120,9,4.1
Mahindra,2012,62000,Diesel,Manual,First,12.05,2179,120,8,6.25
Mahindra,2010,61001,Diesel,Manual,First,12.05,2179,120,8,4.75
Mahindra,2011,100010,Diesel,Manual,Second,12.05,2179,120,8,5.5
BMW,2018,28060,Petrol,Automatic,First,12.05,2979,320,5,93.67
BMW,2017,17465,Petrol,Automatic,First,12.05,2979,320,5,93
Mahindra,2013,75000,Diesel,Manual,First,12.05,2179,120,8,6.29
Mahindra,2010,96813,Diesel,Manual,Second,12.05,2179,120,8,5.5
Mahindra,2010,105000,Diesel,Manual,Second,12.05,2179,120,8,5.21
BMW,2010,59660,Petrol,Automatic,First,12.05,1995,154,5,10.49
BMW,2012,39000,Petrol,Automatic,Second,12.05,1995,154,5,15
Mahindra,2014,45128,Diesel,Manual,First,12.05,2179,120,8,6.75
Mahindra,2011,51387,Diesel,Manual,First,12.05,2179,120,7,5.5
Mahindra,2010,72000,Diesel,Manual,First,12.05,2179,120,8,4.4
Mahindra,2007,81000,Diesel,Manual,Third,12.05,2179,120,8,4.35
Mahindra,2011,70000,Diesel,Manual,Second,12.05,2179,120,8,7.45
Mahindra,2011,85000,Diesel,Manual,First,12.05,2179,120,8,5.25
Mahindra,2011,77001,Diesel,Manual,First,12.05,2179,120,8,4.49
Mahindra,2014,84000,Diesel,Manual,First,12.05,2179,120,7,6.85
Mahindra,2012,77000,Diesel,Manual,Second,12.05,2179,120,8,4.93
BMW,2011,7000,Petrol,Automatic,First,12.05,1995,154,5,9.75
BMW,2009,40000,Petrol,Automatic,Second,12.05,1995,154,5,9.5
Mahindra,2014,87000,Diesel,Manual,First,12.05,2179,120,7,7.4
Mahindra,2011,65000,Diesel,Manual,Second,12.05,2179,120,8,4
Mahindra,2014,72618,Diesel,Manual,First,12.05,2179,120,7,8
Mahindra,2010,144400,Diesel,Manual,Third,12.05,2179,120,8,5.25
Mahindra,2014,45239,Diesel,Manual,First,12.05,2179,120,8,7.09
Mahindra,2012,99000,Diesel,Manual,Third,12.05,2179,120,8,6
Mahindra,2013,70359,Diesel,Manual,First,12.05,2179,120,8,7.65
Mahindra,2012,76777,Diesel,Manual,Second,12.05,2179,120,8,4.88
BMW,2010,70749,Petrol,Automatic,First,12.05,1995,154,5,9.86
Mahindra,2014,90000,Diesel,Manual,First,12.05,2179,120,8,7.9
Mahindra,2011,83000,Diesel,Manual,First,12.05,2179,120,8,6.71
Mahindra,2011,73000,Diesel,Manual,First,12.05,2179,120,8,6.4
Audi,2018,11287,Diesel,Automatic,First,12.07,2967,241.4,7,70.36
Audi,2008,99000,Diesel,Automatic,Third,12.07,2967,241.4,7,12.95
Audi,2009,94000,Diesel,Automatic,Second,12.07,2967,241.4,7,12
Audi,2008,120300,Diesel,Automatic,Second,12.07,2967,241.4,7,18
Audi,2015,46983,Diesel,Automatic,Second,12.07,2967,241.4,7,43.35
